name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Mobility Radeon HD 5850 Mac Edition,Broadway,"Jan 7th, 2010",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",628 MHz,1000 MHz,800 / 40 / 16,30
Radeon E4690 MXM,RV730,"Jun 1st, 2009",MXM-A (3.0),"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,30
Radeon E4690 MXM,RV730,"Jun 1st, 2009",MXM-II,"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,30
Radeon E4690 PCIe,RV730,"Jun 1st, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,30
Radeon HD 3470,RV620,"Jan 23rd, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",800 MHz,950 MHz,40 / 4 / 4,30
Radeon HD 3550,RV620,"Aug 4th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",594 MHz,396 MHz,40 / 4 / 4,30
Radeon HD 3570,RV620,"Jul 5th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",796 MHz,495 MHz,40 / 4 / 4,30
Radeon X300 SE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 64 bit",325 MHz,200 MHz,4 / 2 / 4 / 4,30
Radeon X300 SE HyperMemory,RV370,"Oct 25th, 2006",PCIe 1.0 x16,"128 MB, DDR, 64 bit",325 MHz,300 MHz,4 / 2 / 4 / 4,30
Radeon X800,R430,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12,30
HD Graphics 5000,Haswell GT3,"May 27th, 2013",Ring Bus,System Shared,200 MHz,System Shared,320 / 40 / 4,30
Iris Graphics 5100,Haswell GT3,"May 27th, 2013",Ring Bus,System Shared,200 MHz,System Shared,320 / 40 / 4,30
Iris Pro Graphics 5200,Haswell GT3e,"May 27th, 2013",Ring Bus,System Shared,200 MHz,System Shared,320 / 40 / 4,30
Xe DG1,DG1,Never Released,PCIe 3.0 x4,"4 GB, LPDDR4X, 128 bit",900 MHz,2133 MHz,640 / 40 / 20,30
GeForce 8500 GT,G86,"Apr 17th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",459 MHz,400 MHz,16 / 8 / 4,30
GeForce GT 1010,GP108,"Jan 13th, 2021",PCIe 3.0 x16,"2 GB, GDDR5, 64 bit",1228 MHz,1502 MHz,256 / 16 / 8,30
GeForce GT 1030,GP108,"May 17th, 2017",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",1228 MHz,1502 MHz,384 / 24 / 16,30
GeForce GT 620 OEM,GF119,"Apr 2nd, 2012",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",810 MHz,898 MHz,48 / 8 / 4,30
GeForce GTX 1650 Max-Q,TU117,"Apr 23rd, 2019",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1020 MHz,1751 MHz,1024 / 64 / 32,30
GeForce MX110,GM108,"Nov 17th, 2017",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",978 MHz,1253 MHz,384 / 24 / 8,30
GeForce MX130,GM108,"Nov 17th, 2017",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",1109 MHz,1253 MHz,384 / 24 / 8,30
Jetson AGX Xavier GPU,GV10B,Oct 2018,IGP,System Shared,854 MHz,System Shared,512 / 32 / 16,30
Quadro FX 550,NV43,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",360 MHz,400 MHz,8 / 4 / 8 / 8,30
Quadro FX 560,G73,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",350 MHz,600 MHz,12 / 5 / 12 / 8,30
Quadro K510M,GK208,"Jul 23rd, 2013",MXM-A (3.0),"1024 MB, GDDR5, 64 bit",889 MHz,600 MHz,192 / 16 / 8,30
Quadro K610M,GK208,"Jul 23rd, 2013",MXM-A (3.0),"1024 MB, GDDR5, 64 bit",980 MHz,650 MHz,192 / 16 / 8,30
Quadro K620M,GM108,"Mar 1st, 2015",MXM-A (3.0),"2 GB, DDR3, 64 bit",1029 MHz,900 MHz,384 / 16 / 8,30
Quadro M500M,GM108,"Apr 27th, 2016",MXM-A (3.0),"2 GB, DDR3, 64 bit",1029 MHz,900 MHz,384 / 16 / 8,30
Quadro M600M,GM107,"Aug 18th, 2015",MXM-A (3.0),"2 GB, GDDR5, 128 bit",837 MHz,1253 MHz,384 / 16 / 8,30
Quadro M620 Mobile,GM107,"Jan 11th, 2017",MXM-A (3.0),"2 GB, GDDR5, 128 bit",756 MHz,1253 MHz,512 / 32 / 16,30
Quadro P400,GP107,"Feb 7th, 2017",PCIe 3.0 x16,"2 GB, GDDR5, 64 bit",1228 MHz,1002 MHz,256 / 16 / 16,30
T400,TU117,"May 6th, 2021",PCIe 3.0 x16,"2 GB, GDDR6, 64 bit",420 MHz,1250 MHz,384 / 24 / 16,30
T400 4 GB,TU117,"May 6th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 64 bit",420 MHz,1250 MHz,384 / 24 / 16,30
Radeon X1300 PRO,RV515,"Oct 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,31
Radeon X1300 PRO,RV516,"Nov 1st, 2006",PCIe 1.0 x16,"256 MB, DDR, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,31
Radeon X1300 PRO AGP,RV515,"Oct 1st, 2005",AGP 8x,"256 MB, DDR, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,31
GeForce 205 OEM,GT218,"Nov 26th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,400 MHz,16 / 8 / 4,31
GeForce 210,GT218,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",520 MHz,400 MHz,16 / 8 / 4,31
GeForce 210 OEM,GT216,"Sep 4th, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",475 MHz,400 MHz,16 / 8 / 4,31
GeForce 210 PCI,GT216,"Oct 12th, 2009",PCI,"512 MB, DDR2, 64 bit",475 MHz,400 MHz,16 / 8 / 4,31
GeForce 210 Rev. 2,GT218,"Oct 12th, 2009",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",520 MHz,400 MHz,16 / 8 / 4,31
GeForce 310 OEM,GT218,"Nov 27th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,333 MHz,16 / 8 / 4,31
GeForce G210 OEM,G96C,"May 26th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 64 bit",550 MHz,504 MHz,16 / 8 / 4,31
GeForce G210 OEM Rev. 2,GT218,"Aug 24th, 2009",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",589 MHz,400 MHz,16 / 8 / 4,31
GeForce MX450 30.5W 10Gbps,TU117,"Aug 25th, 2020",PCIe 4.0 x4,"2 GB, GDDR6, 64 bit",1395 MHz,1250 MHz,896 / 56 / 32,31
GeForce MX450 30.5W 8Gbps,TU117,"Aug 25th, 2020",PCIe 4.0 x4,"2 GB, GDDR5, 64 bit",1035 MHz,2000 MHz,896 / 56 / 32,31
Quadro NVS 440,NV43,"Feb 14th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",250 MHz,250 MHz,8 / 4 / 8 / 8,31
Radeon HD 7770M,Chelsea,"Apr 24th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512 / 32 / 16,32
FireMV 2250,RV516,2007,PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,32
FireMV 2250 PCIe x1,RV516,2007,PCIe 1.0 x1,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,32
FirePro 2450 Multi-View,RV620,2009,PCIe 2.0 x16,"256 MB, DDR3, 64 bit",400 MHz,400 MHz,40 / 4 / 4,32
FirePro 2450 Multi-View PCIe x1,RV620,2009,PCIe 2.0 x1,"256 MB, DDR3, 64 bit",400 MHz,400 MHz,40 / 4 / 4,32
FirePro V3700,RV620,"Aug 8th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",800 MHz,950 MHz,40 / 4 / 4,32
GeForce GT 415 OEM,GT216,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 128 bit",625 MHz,333 MHz,48 / 16 / 8,32
GeForce GT 640M,GK107,"Mar 22nd, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",625 MHz,900 MHz,384 / 32 / 16,32
GeForce GT 640M LE,GF108,"May 4th, 2012",PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",753 MHz,785 MHz,96 / 16 / 4,32
GeForce GT 640M Mac Edition,GK107,"Feb 3rd, 2013",PCIe 3.0 x16,"512 MB, GDDR5, 64 bit",745 MHz,1250 MHz,384 / 32 / 8,32
GeForce GT 645M,GK107,"Oct 1st, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",709 MHz,900 MHz,384 / 32 / 16,32
Quadro 400,GT216,"Apr 5th, 2011",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",450 MHz,770 MHz,48 / 16 / 8,32
FirePro M2000,Turks,"Jul 1st, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480 / 24 / 8,33
FirePro M4000,Chelsea,"Jun 27th, 2012",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512 / 32 / 16,33
Radeon HD 7650A,Onega,"Jan 5th, 2012",MXM-A (3.0),"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480 / 24 / 8,33
Wii U GPU,Latte,"Nov 18th, 2012",IGP,"2 GB, DDR3, 64 bit",550 MHz,800 MHz,160 / 16 / 8,33
Radeon X700 PRO,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",425 MHz,430 MHz,8 / 6 / 8 / 8,33
Radeon X700 PRO AGP,RV410,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",425 MHz,472 MHz,8 / 6 / 8 / 8,33
GeForce 315 OEM,GT215,"Apr 28th, 2011",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",506 MHz,350 MHz,48 / 16 / 4,33
GeForce 315 OEM,GT218,"Feb 22nd, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",589 MHz,600 MHz,16 / 8 / 4,33
GeForce 315 OEM,GT216,"Mar 31st, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",475 MHz,790 MHz,48 / 16 / 8,33
GeForce 710A,GF117,"Apr 1st, 2013",PCIe 2.0 x16,"2 GB, DDR3, 64 bit",775 MHz,900 MHz,96 / 16 / 8,33
GeForce 720A,GF117,"Jul 1st, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,1000 MHz,96 / 16 / 8,33
GeForce 720M,GF117,"Apr 1st, 2013",PCIe 2.0 x16,"2 GB, DDR3, 64 bit",625 MHz,800 MHz,96 / 16 / 8,33
GeForce 825M,GK208,"Jan 27th, 2014",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",850 MHz,900 MHz,384 / 32 / 8,33
GeForce 830A,GM108,"Jul 22nd, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1082 MHz,900 MHz,256 / 16 / 8,33
GeForce 830M,GM108,"Mar 12th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1082 MHz,900 MHz,256 / 16 / 8,33
GeForce 840A,GM108,"Mar 17th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1029 MHz,1001 MHz,384 / 16 / 8,33
GeForce 840M,GM108,"Mar 12th, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1029 MHz,1001 MHz,384 / 16 / 8,33
GeForce 845M,GM108,"Aug 26th, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1071 MHz,1253 MHz,384 / 32 / 16,33
GeForce 910M,GK208B,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",641 MHz,1001 MHz,384 / 32 / 8,33
GeForce 920A,GK208B,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",954 MHz,1001 MHz,384 / 32 / 8,33
GeForce 920M,GK208B,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",954 MHz,900 MHz,384 / 32 / 8,33
GeForce 930A,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",928 MHz,1001 MHz,384 / 24 / 8,33
GeForce 930M,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",928 MHz,900 MHz,384 / 24 / 8,33
GeForce 940A,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1072 MHz,1001 MHz,384 / 16 / 8,33
GeForce 940A,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",1029 MHz,1001 MHz,384 / 16 / 8,33
GeForce 940M,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1072 MHz,900 MHz,384 / 24 / 8,33
GeForce 945A,GM108,"Mar 13th, 2015",PCIe 3.0 x8,"1024 MB, GDDR5, 64 bit",1006 MHz,1253 MHz,384 / 24 / 8,33
GeForce GT 630M,GF108,"Mar 22nd, 2012",MXM-A (3.0),"1024 MB, DDR3, 64 bit",660 MHz,900 MHz,96 / 16 / 4,33
GeForce GT 630M,GF117,"Mar 22nd, 2012",MXM-A (3.0),"2 GB, GDDR5, 128 bit",800 MHz,900 MHz,96 / 16 / 4,33
GeForce GT 630M,GF108,"Mar 22nd, 2012",MXM-A (3.0),"1024 MB, DDR3, 64 bit",660 MHz,900 MHz,96 / 16 / 4,33
GeForce GT 635M,GF108,"Mar 22nd, 2012",MXM-A (3.0),"1024 MB, DDR3, 64 bit",660 MHz,900 MHz,96 / 16 / 4,33
GeForce GT 720A,GF117,"Jul 1st, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,1001 MHz,96 / 16 / 8,33
GeForce GT 720M,GF117,"Apr 1st, 2013",PCIe 2.0 x16,"2 GB, DDR3, 64 bit",775 MHz,800 MHz,96 / 16 / 8,33
GeForce GT 720M,GK208,"Dec 25th, 2013",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",719 MHz,800 MHz,192 / 16 / 8,33
GeForce GT 730A,GK208,"Jul 1st, 2014",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",719 MHz,1001 MHz,384 / 32 / 8,33
GeForce GT 730M,GK208,"Mar 6th, 2014",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",719 MHz,900 MHz,384 / 32 / 8,33
GeForce GT 730M,GK107,"Jan 20th, 2013",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",725 MHz,900 MHz,384 / 32 / 16,33
GeForce GT 735M,GK208,"Apr 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",575 MHz,900 MHz,384 / 32 / 8,33
GeForce GT 740A,GK208,"Aug 26th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",980 MHz,900 MHz,384 / 32 / 8,33
GeForce GT 740M,GK208,"Jun 20th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",980 MHz,900 MHz,384 / 32 / 8,33
GeForce GT 745A,GK107,"Aug 26th, 2013",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",837 MHz,900 MHz,384 / 32 / 16,33
Quadro FX 380,G96,"Mar 30th, 2009",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,700 MHz,16 / 8 / 8,34
FirePro M5950,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480 / 24 / 8,35
FirePro RG220A,M93,"May 4th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,80 / 8 / 4,35
Radeon E9172 MXM,Lexa,"Oct 3rd, 2017",MXM-A (3.0),"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512 / 32 / 16,35
Radeon E9173 PCIe,Lexa,"Oct 3rd, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512 / 32 / 16,35
Radeon HD 6380G IGP,SuperSumo,"Jun 14th, 2011",IGP,System Shared,400 MHz,System Shared,160 / 8 / 4,35
Radeon HD 6480G IGP,Sumo,"Jun 14th, 2011",IGP,System Shared,444 MHz,System Shared,240 / 12 / 4,35
Radeon HD 6480G IGP,SuperSumo,"Jun 14th, 2011",IGP,System Shared,593 MHz,System Shared,160 / 8 / 4,35
Radeon HD 6520G IGP,Sumo,"Dec 7th, 2011",IGP,System Shared,400 MHz,System Shared,320 / 16 / 8,35
Radeon HD 6550A,Pinewood,"Feb 7th, 2011",MXM-A (3.0),"2 GB, GDDR3, 128 bit",550 MHz,800 MHz,480 / 24 / 8,35
Radeon HD 6620G IGP,Sumo,"Dec 7th, 2011",IGP,System Shared,444 MHz,System Shared,400 / 20 / 8,35
Radeon HD 6730M,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",725 MHz,800 MHz,480 / 24 / 8,35
Radeon HD 6750M,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480 / 24 / 8,35
Radeon HD 6750M Mac Edition,Whistler,"Apr 18th, 2011",MXM-A (3.0),"512 MB, GDDR5, 128 bit",598 MHz,794 MHz,480 / 24 / 8,35
Radeon HD 6770M,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480 / 24 / 8,35
Radeon HD 6770M Mac Edition,Whistler,"Jan 28th, 2011",MXM-A (3.0),"512 MB, GDDR5, 128 bit",725 MHz,900 MHz,480 / 24 / 8,35
Radeon HD 7420G IGP,Scrapper Lite,"Jun 6th, 2012",IGP,System Shared,480 MHz,System Shared,128 / 8 / 4,35
Radeon HD 7520G IGP,Scrapper,"Jun 6th, 2012",IGP,System Shared,496 MHz,System Shared,192 / 12 / 4,35
Radeon HD 7560G IGP,Devastator Lite,"May 15th, 2012",IGP,System Shared,496 MHz,System Shared,256 / 16 / 8,35
Radeon HD 7640G IGP,Devastator Lite,"May 15th, 2012",IGP,System Shared,496 MHz,System Shared,256 / 16 / 8,35
Radeon HD 7660G IGP,Devastator,"May 15th, 2012",IGP,System Shared,686 MHz,System Shared,384 / 24 / 8,35
Radeon HD 8350G IGP,Scrapper Lite,"Mar 12th, 2013",IGP,System Shared,514 MHz,System Shared,128 / 8 / 4,35
Radeon HD 8410G IGP,Scrapper,"May 23rd, 2013",IGP,System Shared,450 MHz,System Shared,192 / 12 / 4,35
Radeon HD 8450G IGP,Scrapper,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,192 / 12 / 4,35
Radeon HD 8470 OEM,Caicos,"Jan 8th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",775 MHz,800 MHz,160 / 8 / 4,35
Radeon HD 8490 OEM,Caicos,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,35
Radeon HD 8510G IGP,Devastator,"May 23rd, 2013",IGP,System Shared,554 MHz,System Shared,384 / 24 / 8,35
Radeon HD 8550G IGP,Devastator Lite,"May 23rd, 2013",IGP,System Shared,515 MHz,System Shared,256 / 16 / 8,35
Radeon HD 8610G IGP,Devastator,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8,35
Radeon HD 8650G IGP,Devastator,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8,35
Radeon Pro 450,Baffin,"Oct 30th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",800 MHz,1270 MHz,640 / 40 / 16,35
Radeon Pro 455,Baffin,"Oct 30th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",855 MHz,1270 MHz,768 / 48 / 16,35
Radeon Pro 460,Baffin,"Oct 30th, 2016",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",850 MHz,1270 MHz,1024 / 64 / 16,35
Radeon Pro WX 2100,Lexa,"Jun 4th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",925 MHz,1500 MHz,512 / 32 / 16,35
Radeon R5 235 OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4,35
Radeon R5 310 OEM,Caicos,"May 5th, 2015",PCIe 2.0 x16,"2 GB, DDR3, 64 bit",775 MHz,805 MHz,160 / 8 / 4,35
Radeon R5 310 OEM,Caicos,"May 5th, 2015",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,35
Radeon R5 A220,Caicos,2014,PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4,35
Radeon R7 M350,Opal,2015,PCIe 3.0 x8,"2 GB, DDR3, 64 bit",725 MHz,900 MHz,384 / 24 / 8,35
Radeon RX Vega 11 Embedded,Raven,"Apr 19th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,35
Radeon RX Vega 11 Mobile,Raven,"May 10th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,35
Radeon Vega 11 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,35
Radeon Vega 8 Embedded,Raven,"Apr 19th, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,35
Radeon Vega 8 Mobile,Raven,"Jan 8th, 2019",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,35
FireGL V5200,RV530,"Oct 1st, 2005",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",600 MHz,700 MHz,12 / 5 / 4 / 4,35
FirePro M5725,M96,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,35
FirePro RG220,M93,"May 4th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,80 / 8 / 4,35
Mobility Radeon HD 2700,M76,"Dec 12th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",700 MHz,700 MHz,120 / 8 / 4,35
Mobility Radeon HD 3850,M88,"Jun 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",580 MHz,750 MHz,320 / 16 / 16,35
Mobility Radeon HD 4650,M96,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",500 MHz,600 MHz,320 / 32 / 8,35
Mobility Radeon HD 4670,M96,"Jan 9th, 2009",MXM-A (3.0),"512 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,35
Mobility Radeon HD 4670 Mac Edition,M96,"Sep 16th, 2009",MXM-A (3.0),"256 MB, GDDR3, 128 bit",680 MHz,790 MHz,320 / 32 / 8,35
Mobility Radeon HD 5165,M96,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,900 MHz,320 / 32 / 8,35
Radeon HD 2600 PRO,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4,35
Radeon HD 2600 PRO AGP,RV630,"Jun 28th, 2007",AGP 8x,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,35
Radeon HD 3610,RV630,"Sep 24th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,35
HD Graphics,Ironlake,"Jan 10th, 2010",QPI,System Shared,133 MHz,System Shared,96 / 16 / 2,35
HD Graphics,Ironlake,"Jan 10th, 2010",QPI,System Shared,533 MHz,System Shared,96 / 12 / 2,35
GeForce FX 5900 XT,NV35,"May 12th, 2003",AGP 8x,"128 MB, DDR, 256 bit",400 MHz,350 MHz,4 / 3 / 8 / 4,35
GeForce G100 OEM,G98,"Mar 10th, 2009",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,400 MHz,8 / 4 / 4,35
GeForce GT 435M,GF106,"Jan 15th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",590 MHz,800 MHz,96 / 16 / 16,35
GeForce GT 435M,GF108,"Sep 3rd, 2010",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",650 MHz,800 MHz,96 / 16 / 4,35
GeForce GT 445M,GF106,"Sep 3rd, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",570 MHz,625 MHz,144 / 24 / 16,35
GeForce GT 445M,GF106,"Sep 3rd, 2010",PCIe 2.0 x16,"3 GB, DDR3, 192 bit",590 MHz,800 MHz,144 / 24 / 24,35
GeForce GT 540M,GF108,"Jan 5th, 2011",MXM-A (3.0),"1024 MB, DDR3, 128 bit",672 MHz,900 MHz,96 / 16 / 4,35
GeForce GT 550M,GF108,"Jan 5th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",740 MHz,900 MHz,96 / 16 / 4,35
GeForce GT 555M,GF116,"Mar 26th, 2012",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",675 MHz,900 MHz,144 / 24 / 16,35
GeForce GT 555M,GF106,"Oct 27th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",525 MHz,900 MHz,144 / 24 / 16,35
GeForce GT 555M,GF108,"Jun 15th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",753 MHz,784 MHz,96 / 16 / 4,35
GeForce GT 555M,GF106,"Jul 2nd, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",590 MHz,900 MHz,144 / 24 / 16,35
GeForce GT 555M,GF106,"Mar 24th, 2011",PCIe 2.0 x16,"1536 MB, DDR3, 192 bit",590 MHz,900 MHz,144 / 24 / 24,35
GeForce GT 635 OEM,GK208,"Oct 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",967 MHz,900 MHz,384 / 32 / 8,35
GeForce GT 635M,GF108,"Mar 22nd, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",660 MHz,900 MHz,96 / 16 / 4,35
GeForce GT 635M,GF116,"Mar 22nd, 2012",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",650 MHz,900 MHz,144 / 24 / 16,35
GeForce GT 635M,GF116,"Mar 22nd, 2012",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",675 MHz,900 MHz,144 / 24 / 16,35
GeForce Go 7800,G70,"Mar 3rd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,550 MHz,16 / 6 / 16 / 16,35
NVS 1000,GK107,Never Released,PCIe 3.0 x16,"2 GB, DDR3, 128 bit",797 MHz,891 MHz,192 / 16 / 16,35
NVS 510,GK107,"Oct 23rd, 2012",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",797 MHz,891 MHz,192 / 16 / 16,35
NVS 5100M,GT216,"Jan 7th, 2010",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",550 MHz,800 MHz,48 / 16 / 8,35
NVS 5400M,GF108,"Jun 1st, 2012",MXM,"2 GB, GDDR3, 128 bit",660 MHz,900 MHz,96 / 16 / 4,35
